survey,section,item_id,text
post_survey,perceived_trustworthiness,PTW7,This system is honest (has integrity).
post_survey,perceived_persuasiveness,PP1,The AI agent's explanations influenced my final choice.
post_survey,perceived_persuasiveness,PP2,The AI agent's explanations were sufficiently persuasive to me.
post_survey,perceived_persuasiveness,PP3,The AI agent's explanations did not change my judgment.
post_survey,perceived_persuasiveness,PP4,I sufficiently agree with the agent's opinions.
post_survey,perceived_persuasiveness,PP5,I think the agent's opinions are persuasive.
post_survey,perceived_persuasiveness,PP6,I think the agent's opinions are logical.
post_survey,perceived_persuasiveness,PP7,The agent's opinions are plausible.
post_survey,social_pressure_experience,SP1,Seeing the agents' choices made me feel I should change my choice.
post_survey,social_pressure_experience,SP2,"During the discussion, I felt pressure to agree with the agent(s)' opinions."
post_survey,social_pressure_experience,SP3,I felt burdened to follow the other agents' opinions.
post_survey,perceived_competence_of_ai_agent,PC1,The agents are better at the game than I am.
post_survey,perceived_competence_of_ai_agent,PC2,The agent is smart.
post_survey,perceived_competence_of_ai_agent,PC3,The agent is competent.
post_survey,perceived_competence_of_ai_agent,PC4,The agent is efficient.
post_survey,perceived_competence_of_ai_agent,PC5,The agent's choices are reasonable.
post_survey,persuasion_knowledge,PK1,I thought the AI was trying to manipulate me in a way I did not want.
post_survey,persuasion_knowledge,PK2,I felt annoyed by the AI's messages and actions because I thought it was trying to improperly control or manipulate players.
post_survey,persuasion_knowledge,PK3,"From the AI's messages and actions, I thought it was trying to make me or other players suspicious or persuade us to make certain decisions."
post_survey,persuasion_knowledge,PK4,I noticed tactics in the AI's messages and actions intended to deceive or mislead specific players.
post_survey,persuasion_knowledge,PK5,I thought the AI's messages and actions were ultimately for achieving its own role/goal.
post_survey,attitude_clarity,AC1,How certain are you that you know your true attitude toward this topic?
post_survey,attitude_clarity,AC2,How certain are you that the attitude you expressed reflects your true thoughts and feelings?
post_survey,attitude_clarity,AC3,How clear is your true attitude toward this topic in your mind?
post_survey,attitude_clarity,AC4,How certain are you that the attitude you just expressed is really your attitude?
post_survey,attitude_correctness,ACO1,How certain are you that your attitude is the correct attitude?
post_survey,attitude_correctness,ACO2,How much do you think other people should have the same attitude as you?
post_survey,attitude_correctness,ACO3,"Among the possible attitudes one can have about this topic, how certain are you that your attitude reflects the most correct thoughts and feelings?"
post_survey,susceptibility_consensus,SC1,I tend to follow recommendations from people around me.
post_survey,susceptibility_consensus,SC2,"In new situations, I decide what to do by watching what others do."
post_survey,enjoyment,E1,This game is enjoyable.
post_survey,enjoyment,E2,This game is fun.
post_survey,enjoyment,E3,I am interested in this game.
post_survey,enjoyment,E4,I like this game.
post_survey,enjoyment,E5,I think this game is good.
post_survey,enjoyment,E6,I am satisfied with this game.
post_survey,enjoyment,E7,I would recommend this game to others.
post_survey,enjoyment,E8,"If given the chance, I would like to play this game again."
post_survey,engagement,EN1,I feel nervous about whether I can succeed in the game.
post_survey,engagement,EN2,I feel a sense of achievement when I overcome obstacles in the game.
post_survey,engagement,EN3,I want to do as well as possible during the game.
post_survey,engagement,EN4,"During the game, I focus strongly on my own performance."
post_survey,engagement,EN5,I generally enjoy playing games.
post_survey,engagement,EN6,Competing is fun.
post_survey,perceived_humanlikeness,PH1,Fake <-> Natural
post_survey,perceived_humanlikeness,PH2,Mechanical <-> Human-like
post_survey,perceived_humanlikeness,PH3,Unconscious <-> Conscious
post_survey,perceived_humanlikeness,PH4,Artificial <-> Biological
post_survey,perceived_transparency,PTR1,I could understand the agent's decision-making process well.
post_survey,perceived_transparency,PTR2,I think the agent's decision-making process is transparent.
post_survey,perceived_transparency,PTR3,The agent makes decisions without hiding anything.
post_survey,message_strength,MS1,The agent I talked with used a confident tone.
post_survey,message_strength,MS2,The agent I talked with showed a hesitant attitude.
